12/9/17,"CNNS slogan is CNN, THE MOST TRUSTED NAME IN NEWS. Everyone knows this is not true, that this could, in fact, be a fraud on the American Public. There are many outlets that are far more trusted than Fake News CNN. Their slogan should be CNN, THE LEAST TRUSTED NAME IN NEWS!",97094,24990
12/9/17,"Fake News CNN made a vicious and purposeful mistake yesterday. They were caught red handed, just like lonely Brian Ross at ABC News (who should be immediately fired for his mistake). Watch to see if @CNN fires those responsible, or was it just gross incompetence?",61536,16566
12/8/17,Just arrived at the Pensacola Bay Center. Join me LIVE on @FoxNews in 10 minutes! #MAGAhttps://twitter.com/foxnews/status/939292886973247489_,34544,6386
12/8/17,"Fines and penalties against Wells Fargo Bank for their bad acts against their customers and others will not be dropped, as has incorrectly been reported, but will be pursued and, if anything, substantially increased. I will cut Regs but make penalties severe when caught cheating!",90866,21584
12/7/17,Go get the new book on Andrew Jackson by Brian Kilmeade...Really good. @foxandfriends,53650,10114
12/4/17,A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the greatest Witch Hunt in U.S. political history. Enjoy!,74694,18639
12/3/17,"People who lost money when the Stock Market went down 350 points based on the False and Dishonest reporting of Brian Ross of @ABC News (he has been suspended), should consider hiring a lawyer and suing ABC for the damages this bad reporting has caused - many millions of dollars!",124024,37555
12/3/17,"Tainted (no, very dishonest?) FBI agents role in Clinton probe under review. Led Clinton Email probe. @foxandfriends  Clinton money going to wife of another FBI agent in charge.",87240,26285
12/3/17,I never asked Comey to stop investigating Flynn. Just more Fake News covering another Comey lie!,93402,22909
12/2/17,"Congratulations to @ABC News for suspending Brian Ross for his horrendously inaccurate and dishonest report on the Russia, Russia, Russia Witch Hunt. More Networks and papers should do the same with their Fake News!",107496,27936
12/1/17,"The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! Hes not leaving and while we disagree on certain subjects, (I call the final shots) we work well together and America is highly respected again!https://instagram.com/p/BcLCXDYgQed/",87973,22557
11/30/17,The Failing @nytimes has totally gone against the Social Media Guidelines that they installed to preserve some credibility after many of their biased reporters went Rogue!  @foxandfriends,54449,12436
11/30/17,"The Failing @nytimes, the pipe organ for the Democrat Party, has become a virtual lobbyist for them with regard to our massive Tax Cut Bill. They are wrong so often that now I know we have a winner!",63317,14935
11/29/17,The House of Representatives seeks contempt citations(?) against the JusticeDepartment and the FBI for withholding key documents and an FBI witness which could shed light on surveillance of associates of Donald Trump. Big stuff. Deep State. Give this information NOW! @FoxNews,73643,23799
11/29/17,So now that Matt Lauer is gone when will the Fake News practitioners at NBC be terminating the contract of Phil Griffin? And will they terminate low ratings Joe Scarborough based on the unsolved mystery that took place in Florida years ago? Investigate!,87561,23656
11/29/17,"Wow, Matt Lauer was just fired from NBC for inappropriate sexual behavior in the workplace. But when will the top executives at NBC & Comcast be fired for putting out so much Fake News. Check out Andy Lacks past!",101756,26297
